ID,CC Diff (slow-fast),HV Diff (slow-fast),MI Diff (slow-fast),Slow-Fast MediTime
4527,-1,-35.52,0.85,10.1626
4528,1,57.55,-5.03,10.1580
4529,0,155.59,-19.46,10.1565
4530,-1,-59.58,-0.95,10.1450
4531,1,57.18,1.53,10.1344
4532,1,54.55,-4.29,10.1318
4533,1,67.98,-0.44,10.1243
4534,0,39.23,-1.92,10.1235
4535,0,63.78,-8.61,10.0896
4536,0,48.02,-3.20,10.0824
4537,-1,14.24,2.11,10.0765
4538,2,124.87,-0.85,10.0601
4539,-2,-293.51,31.08,10.0519
4540,0,-15.86,0.26,10.0409
4541,1,17.51,-1.52,10.0363
4542,0,-77.10,9.71,10.0213
4543,-2,-54.57,12.39,9.9900
4544,1,56.57,-1.62,9.9847
4545,0,83.34,-4.75,9.9627
4546,0,0.00,-1.74,9.9538
4547,0,-4.09,0.46,9.9319
4548,0,-17.56,7.35,9.9299
4549,0,0.00,0.39,9.9043
4550,0,9.91,-1.47,9.8639
4551,0,0.00,0.00,9.8424
4552,-1,-21.28,3.75,9.8380
4553,1,101.57,-8.70,9.8340
4554,0,66.81,-2.10,9.7744
4555,0,2.58,0.86,9.7602
4556,1,24.12,6.14,9.7540
4557,1,47.45,-2.73,9.7527
4558,0,13.05,-2.67,9.7511
4559,0,0.00,0.00,9.7408
4560,-1,-47.14,5.10,9.7385
4561,0,-25.29,4.33,9.7173
4562,0,-19.72,2.87,9.7120
4563,1,190.05,-5.91,9.7109
4564,1,-21.66,13.51,9.7101
4565,0,0.00,0.00,9.7087
4566,1,2.39,2.30,9.6826
4567,0,23.29,-2.28,9.6795
4568,0,0.00,0.00,9.6747
4569,0,-9.05,0.33,9.6603
4570,1,12.98,-3.79,9.6492
4571,1,52.07,-2.14,9.6321
4572,0,-18.86,3.19,9.6288
4573,1,161.91,1.24,9.6267
4574,1,35.28,-2.93,9.6053
4575,0,11.70,-0.25,9.5919
4576,0,-22.73,1.34,9.5760
4577,0,-86.64,5.06,9.5716
4578,-2,-284.30,30.58,9.5464
4579,0,0.00,0.00,9.5433
4580,0,11.44,1.21,9.5344
4581,1,50.43,-6.94,9.5017
4582,0,-25.63,0.08,9.5014
4583,4,282.28,-3.93,9.4983
4584,0,72.88,-7.83,9.4771
4585,-1,-103.51,16.09,9.4670
4586,0,-19.82,5.03,9.4460
4587,0,-21.20,-1.76,9.4455
4588,1,38.46,1.39,9.4334
4589,0,32.17,-1.35,9.4291
4590,0,-125.34,14.08,9.4194
4591,0,-2.28,1.49,9.4118
4592,0,6.20,-2.69,9.4099
4593,0,2.03,0.10,9.3934
4594,0,-367.44,10.99,9.3776
4595,0,3.15,1.12,9.3764
4596,1,78.12,-6.25,9.3684
4597,0,2.65,3.83,9.3642
4598,0,1.91,0.18,9.3306
4599,0,52.83,-6.24,9.3201
4600,0,-88.70,-2.19,9.3185
4601,0,22.59,-0.12,9.3117
4602,0,-70.81,15.39,9.2941
4603,2,31.28,10.39,9.2760
4604,-1,-82.12,9.54,9.2573
4605,-1,-99.34,17.63,9.2573
4606,-2,-58.61,3.03,9.2399
4607,1,21.63,-2.77,9.2281
4608,0,-53.72,6.73,9.2230
4609,1,80.52,-1.94,9.2173
4610,3,175.53,-1.59,9.2119
4611,0,22.13,-0.39,9.2077
4612,1,281.88,-12.48,9.1933
4613,0,-47.08,0.33,9.1911
4614,0,-18.52,0.48,9.1892
4615,0,62.28,-6.34,9.1777
4616,0,15.00,-1.82,9.1746
4617,0,-25.44,2.49,9.1739
4618,0,0.00,0.00,9.1530
4619,0,7.24,1.04,9.1485
4620,0,5.84,-0.57,9.1352
4621,0,17.36,-0.23,9.1276
4622,1,15.78,-4.39,9.1233
4623,0,37.08,-10.11,9.1213
4624,0,32.35,0.39,9.1163
4625,0,-34.58,4.72,9.1022
4626,0,18.86,-3.19,9.0969
4627,0,-2.72,0.11,9.0955
4628,0,-35.31,-0.42,9.0839
4629,1,-6.94,5.93,9.0754
4630,0,-19.89,1.62,9.0557
4631,0,44.83,-1.09,9.0529
4632,-2,-280.13,32.11,9.0510
4633,-2,-142.78,3.81,9.0426
4634,1,61.33,-0.93,9.0389
4635,0,-11.93,4.96,9.0230
4636,1,11.72,-0.60,9.0132
4637,-1,-51.45,1.52,9.0109
4638,0,-11.38,-0.97,9.0015
4639,0,57.05,-6.10,8.9989
4640,1,12.61,2.08,8.9939
4641,-2,-127.12,2.97,8.9891
4642,0,27.03,-0.42,8.9886
4643,0,34.10,-3.09,8.9812
4644,0,-37.36,0.06,8.9749
4645,0,40.87,1.25,8.9745
4646,0,12.51,-0.99,8.9734
4647,-1,-108.60,8.02,8.9717
4648,2,58.09,-6.38,8.9688
4649,0,-41.27,-0.43,8.9492
4650,0,23.42,-1.74,8.9482
4651,0,20.02,-0.41,8.9476
4652,0,-77.58,4.44,8.9425
4653,0,-35.31,-0.16,8.9307
4654,0,-72.15,5.39,8.9221
4655,1,12.46,2.71,8.9184
4656,-1,61.33,1.05,8.9076
4657,-2,-297.68,29.55,8.9051
4658,0,26.61,-1.66,8.8906
4659,0,12.68,-0.58,8.8696
4660,-1,-82.12,9.54,8.8613
4661,-1,-22.10,2.34,8.8504
4662,0,26.61,-1.66,8.8436
4663,0,44.51,-3.21,8.8216
4664,1,88.43,-6.70,8.8189
4665,1,8.34,2.27,8.8180
4666,1,31.29,-1.79,8.8059
4667,0,7.81,3.66,8.8046
4668,-1,-37.66,4.80,8.7965
4669,0,46.37,-6.07,8.7931
4670,-1,344.89,-20.93,8.7812
4671,1,34.94,1.62,8.7682
4672,0,-53.48,3.56,8.7587
4673,0,31.46,-5.51,8.7552
4674,0,-8.92,2.50,8.7443
4675,0,26.61,-1.66,8.7340
4676,-1,-48.27,5.40,8.7333
4677,0,9.62,-0.22,8.7299
4678,0,12.51,-0.56,8.6883
4679,0,0.00,0.00,8.6766
4680,0,-12.54,0.54,8.6584
4681,2,106.88,-5.98,8.6576
4682,1,83.79,3.37,8.6565
4683,0,-4.09,0.46,8.6552
4684,0,-29.23,1.83,8.6398
4685,2,112.66,1.92,8.6390
4686,0,-4.52,-0.35,8.6271
4687,1,92.85,-0.25,8.6268
4688,0,-19.33,3.68,8.6232
4689,0,-25.86,0.13,8.6193
4690,-1,0.00,0.44,8.6036
4691,0,0.00,0.00,8.6018
4692,0,-62.77,5.19,8.5943
4693,-2,-21.35,-7.37,8.5939
4694,0,73.57,-2.78,8.5651
4695,0,20.64,1.33,8.5568
4696,0,4.07,-0.63,8.5554
4697,1,134.70,-7.56,8.5501
4698,1,85.72,-9.02,8.5496
4699,0,19.82,-3.00,8.5330
4700,-1,40.88,-6.28,8.5190
4701,0,-12.63,0.47,8.4992
4702,0,34.45,-9.40,8.4959
4703,0,12.51,-0.56,8.4950
4704,0,20.67,-8.99,8.4829
4705,0,47.08,-0.72,8.4783
4706,1,88.16,-4.13,8.4595
4707,0,0.00,0.00,8.4453
4708,0,98.72,-4.97,8.4345
4709,0,22.62,-1.78,8.4269
4710,0,15.00,-0.40,8.4223
4711,-6,-334.19,27.06,8.4202
4712,0,12.51,-0.56,8.4161
4713,0,47.10,-7.64,8.4155
4714,0,0.00,-9.47,8.4147
4715,0,12.51,-0.56,8.4128
4716,1,35.72,0.92,8.4033
4717,0,22.48,0.11,8.3944
4718,0,27.51,-2.56,8.3929
4719,0,0.00,0.00,8.3888
4720,0,16.75,-1.44,8.3831
4721,1,112.89,-9.36,8.3722
4722,1,97.50,0.83,8.3722
4723,1,52.76,-0.98,8.3697
4724,0,-40.59,7.12,8.3663
4725,1,54.67,-0.36,8.3661
4726,0,16.75,-1.44,8.3618
4727,2,145.37,4.70,8.3596
4728,0,22.27,5.48,8.3578
4729,1,88.33,-6.16,8.3575
4730,0,56.08,-4.55,8.3564
4731,0,12.60,-0.57,8.3543
4732,0,29.28,4.07,8.3500
4733,1,93.63,-7.69,8.3405
4734,3,34.83,5.45,8.3335
4735,0,14.09,-8.40,8.3275
4736,1,64.50,1.43,8.3247
4737,0,44.45,-3.12,8.3224
4738,0,17.16,-1.41,8.3125
4739,0,18.91,-1.04,8.3059
4740,1,108.61,-5.10,8.3014
4741,0,-12.00,4.37,8.2977
4742,0,-89.04,7.97,8.2971
4743,0,14.97,0.11,8.2969
4744,-1,-114.38,21.43,8.2850
4745,-1,-121.00,10.56,8.2825
4746,0,16.75,-1.44,8.2752
4747,0,24.68,-1.42,8.2678
4748,0,28.83,-14.35,8.2649
4749,0,-4.52,-0.35,8.2623
4750,1,11.72,-0.29,8.2578
4751,1,46.00,4.82,8.2548
4752,0,-43.76,0.19,8.2272
4753,0,-41.31,0.94,8.2193
4754,0,29.28,4.29,8.2188
4755,0,0.00,0.00,8.2130
4756,0,40.56,-5.63,8.2103
4757,1,142.70,-8.18,8.2079
4758,2,47.72,-8.73,8.2078
4759,2,256.37,-12.65,8.1969
4760,0,58.42,-6.28,8.1834
4761,0,20.00,-0.36,8.1557
4762,0,-36.75,1.29,8.1468
4763,0,65.09,-7.81,8.1447
4764,0,0.00,0.00,8.1430
4765,0,2.32,-2.52,8.1332
4766,-1,23.74,-5.88,8.1275
4767,-1,-58.02,8.31,8.1119
4768,0,2.56,1.30,8.0949
4769,0,0.00,-0.23,8.0924
4770,1,34.99,5.07,8.0874
4771,1,98.82,-6.35,8.0870
4772,2,58.90,-4.06,8.0701
4773,0,-4.09,0.46,8.0684
4774,0,0.00,0.00,8.0648
4775,1,57.16,-0.55,8.0568
4776,1,21.17,5.64,8.0397
4777,1,102.67,-11.49,8.0217
4778,2,66.70,-4.06,8.0180
4779,1,42.05,-4.94,8.0142
4780,1,171.19,-13.97,8.0127
4781,0,122.99,-4.66,8.0037
4782,-3,-224.01,18.14,8.0037
4783,1,126.70,-6.99,8.0023
4784,0,0.00,0.00,7.9995
4785,1,25.38,2.15,7.9946
4786,0,0.00,0.00,7.9922
4787,0,-42.55,4.16,7.9867
4788,0,-17.41,1.07,7.9794
4789,0,13.69,-4.49,7.9726
4790,0,15.46,-0.23,7.9646
4791,0,-29.34,3.08,7.9585
4792,1,68.15,-2.03,7.9560
4793,0,101.90,-2.18,7.9461
4794,-1,273.30,-14.41,7.9345
4795,0,15.43,-7.44,7.9338
4796,1,0.37,8.73,7.9199
4797,1,10.32,-3.78,7.9158
4798,0,70.97,-8.90,7.9113
4799,0,-20.89,2.00,7.9113
4800,1,92.69,-8.25,7.9087
4801,6,269.63,-11.30,7.8967
4802,1,-6.67,1.83,7.8885
4803,-1,-64.08,6.08,7.8879
4804,2,51.71,-4.02,7.8874
4805,0,14.78,0.83,7.8853
4806,-1,-2.12,2.57,7.8774
4807,2,-18.96,4.90,7.8691
4808,0,-22.38,0.45,7.8676
4809,-2,-66.73,12.92,7.8553
4810,1,120.40,-7.87,7.8400
4811,0,29.25,-1.50,7.8364
4812,0,51.15,-2.84,7.8344
4813,0,55.43,1.53,7.8321
4814,1,164.51,-5.92,7.8278
4815,-2,-239.92,24.42,7.8071
4816,0,11.71,-1.98,7.8027
4817,0,25.43,-2.27,7.7989
4818,-1,-45.08,-2.72,7.7920
4819,1,47.21,-2.87,7.7714
4820,1,110.96,-0.65,7.7588
4821,0,33.76,-1.16,7.7540
4822,0,-4.70,5.07,7.7489
4823,1,133.23,-7.68,7.7321
4824,0,62.77,-9.26,7.7252
4825,2,64.28,-5.59,7.7181
4826,-1,-99.49,4.39,7.7153
4827,0,42.78,-2.13,7.7131
4828,0,-2.45,2.31,7.6946
4829,0,539.66,-28.59,7.6942
4830,-1,-52.07,13.50,7.6877
4831,0,12.97,-0.76,7.6877
4832,0,53.76,-3.13,7.6841
4833,0,-36.97,7.74,7.6839
4834,0,4.52,1.23,7.6818
4835,0,83.27,-3.07,7.6791
4836,0,0.00,0.00,7.6663
4837,0,0.00,0.00,7.6631
4838,0,52.16,-3.55,7.6277
4839,0,9.46,-0.10,7.6254
4840,1,-14.24,-2.11,7.6131
4841,0,28.20,1.79,7.6006
4842,0,-21.49,2.66,7.5952
4843,0,16.91,0.90,7.5939
4844,-1,0.10,-2.56,7.5904
4845,1,59.71,0.47,7.5864
4846,0,-6.79,0.40,7.5791
4847,1,65.25,-2.19,7.5775
4848,4,277.49,-13.51,7.5736
4849,1,241.88,-12.41,7.5682
4850,0,59.94,-1.86,7.5648
4851,0,-33.09,0.43,7.5593
4852,0,86.94,-8.08,7.5580
4853,1,11.91,0.61,7.5569
4854,1,38.36,0.94,7.5468
4855,0,2.61,-0.25,7.5383
4856,1,33.92,-3.98,7.5320
4857,0,6.57,-0.14,7.5316
4858,1,-49.62,15.39,7.5255
4859,0,-12.26,0.40,7.5237
4860,0,14.43,-1.80,7.5149
4861,0,10.30,-0.31,7.5139
4862,0,10.50,-0.70,7.5090
4863,0,-6.55,1.66,7.5063
4864,1,26.36,2.07,7.5015
4865,1,77.89,-1.31,7.4991
4866,1,124.61,-6.29,7.4948
4867,0,79.74,-6.17,7.4913
4868,-1,-42.88,3.16,7.4904
4869,0,0.00,0.00,7.4837
4870,1,296.35,-7.10,7.4775
4871,0,40.43,-0.48,7.4729
4872,-1,-9.51,1.89,7.4605
4873,0,63.50,-3.23,7.4580
4874,0,-11.11,0.23,7.4414
4875,1,100.32,2.22,7.4382
4876,0,-6.02,0.50,7.4372
4877,1,103.18,-0.57,7.4329
4878,0,17.16,-1.41,7.4211
4879,1,95.63,-5.25,7.4195
4880,0,46.37,-6.07,7.4081
4881,0,-9.49,4.55,7.4062
4882,2,92.31,-3.77,7.4060
4883,-1,-29.28,4.04,7.3995
4884,-1,-47.57,0.57,7.3979
4885,1,112.39,-11.75,7.3931
4886,1,24.11,1.52,7.3909
4887,0,53.22,-8.43,7.3598
4888,1,1.88,4.50,7.3541
4889,0,34.08,-1.03,7.3453
4890,0,0.00,1.25,7.3444
4891,0,21.41,1.17,7.3429
4892,0,14.15,-1.02,7.3343
4893,0,80.78,-9.09,7.3283
4894,1,126.47,-5.93,7.3188
4895,0,22.59,-0.12,7.3176
4896,0,0.00,0.00,7.3094
4897,1,116.61,-5.67,7.2922
4898,0,-4.00,-1.46,7.2813
4899,0,40.03,-3.68,7.2781
4900,0,-47.86,3.23,7.2709
4901,0,-6.47,1.96,7.2637
4902,0,0.54,-3.64,7.2628
4903,1,63.22,-1.98,7.2622
4904,-1,-4.39,0.67,7.2618
4905,0,1.95,-3.49,7.2501
4906,1,44.52,-0.62,7.2483
4907,0,-35.72,0.84,7.2476
4908,1,146.14,-4.18,7.2386
4909,0,4.39,-0.85,7.2377
4910,0,2.18,0.46,7.2342
4911,1,86.95,-0.89,7.2311
4912,2,120.82,-3.41,7.2242
4913,0,-38.94,3.96,7.2215
4914,-1,54.71,-3.08,7.2169
4915,-1,46.54,-9.19,7.2166
4916,0,77.02,-8.87,7.2141
4917,0,10.93,-0.13,7.1987
4918,1,17.84,4.20,7.1943
4919,0,0.00,0.00,7.1929
4920,0,-7.37,-9.01,7.1920
4921,0,26.04,1.44,7.1886
4922,1,14.77,-2.37,7.1857
4923,0,45.02,-2.09,7.1817
4924,0,-60.57,12.16,7.1788
4925,0,0.00,0.00,7.1731
4926,0,23.06,-4.91,7.1669
4927,1,54.31,-3.58,7.1642
4928,1,20.42,1.55,7.1498
4929,-1,99.70,1.08,7.1442
4930,-4,-139.06,7.75,7.1425
4931,-1,-47.98,11.35,7.1398
4932,0,70.83,-2.56,7.1331
4933,0,2.15,-2.15,7.1289
4934,0,34.08,-0.99,7.1282
4935,-1,-37.11,1.64,7.1261
4936,0,-52.38,-2.30,7.1221
4937,1,79.37,-0.23,7.1193
4938,1,59.38,-1.40,7.1098
4939,0,13.69,-4.49,7.1017
4940,0,0.00,-1.20,7.0923
4941,1,57.37,6.26,7.0913
4942,0,0.00,0.00,7.0910
4943,0,-4.09,0.46,7.0875
4944,-3,-110.78,7.37,7.0808
4945,0,2.10,-4.05,7.0804
4946,0,17.70,-0.71,7.0782
4947,1,28.50,1.97,7.0685
4948,1,-23.47,4.78,7.0653
4949,1,117.97,-6.17,7.0634
4950,0,0.00,0.00,7.0553
4951,0,88.27,-2.26,7.0442
4952,-1,-43.63,13.49,7.0409
4953,1,2.39,2.30,7.0389
4954,0,19.22,1.54,7.0387
4955,0,0.00,0.00,7.0349
4956,0,42.91,-5.55,7.0333
4957,1,67.41,1.52,7.0275
4958,1,41.06,-3.88,7.0120
4959,1,24.28,7.10,7.0080
4960,0,-5.43,0.92,7.0055
4961,1,-4.33,-2.94,6.9896
4962,0,-5.89,0.55,6.9819
4963,0,-93.71,4.06,6.9788
4964,0,-7.56,0.97,6.9691
4965,0,55.45,-7.01,6.9687
4966,1,96.03,-1.98,6.9525
4967,0,9.46,-0.10,6.9509
4968,0,-13.26,0.75,6.9489
4969,3,294.70,-21.58,6.9487
4970,0,13.18,-1.52,6.9455
4971,2,43.72,3.34,6.9343
4972,0,0.00,0.00,6.9202
4973,-1,-226.16,6.33,6.9198
4974,0,-5.68,0.03,6.9172
4975,1,125.23,2.07,6.9156
4976,1,60.17,-0.48,6.9129
4977,-1,-126.24,4.37,6.9099
4978,0,32.51,-2.45,6.8943
4979,0,23.06,-4.91,6.8769
4980,3,46.88,-1.50,6.8755
4981,-4,-68.85,12.05,6.8702
4982,0,18.99,-4.16,6.8696
4983,-1,-59.51,1.99,6.8660
4984,0,31.68,-0.72,6.8643
4985,1,113.87,-18.69,6.8637
4986,-2,-75.10,-2.63,6.8428
4987,0,16.23,0.17,6.8384
4988,2,117.58,-3.82,6.8273
4989,0,-45.69,3.14,6.8246
4990,0,54.76,-3.39,6.8194
4991,0,0.00,0.00,6.8057
4992,1,60.14,1.31,6.7995
4993,0,5.60,2.31,6.7983
4994,-1,6.13,-2.69,6.7969
4995,1,16.35,7.25,6.7921
4996,0,0.00,0.00,6.7767
4997,0,18.99,-4.16,6.7597
4998,-1,-77.28,1.05,6.7553
4999,-1,-11.98,-1.42,6.7465
