ID,CC Diff (slow-fast),HV Diff (slow-fast),MI Diff (slow-fast),Slow-Fast MediTime
4009,0,-6.29,0.13,16.9176
4010,1,25.13,-7.11,16.8996
4011,1,146.99,-4.36,16.8709
4012,1,142.27,-9.07,16.8569
4013,0,60.74,-4.81,16.8546
4014,-1,-49.17,5.89,16.8541
4015,0,-40.04,3.02,16.8531
4016,0,39.39,-1.42,16.8319
4017,0,-11.48,0.69,16.8219
4018,1,67.10,-1.81,16.8136
4019,0,32.91,-1.96,16.7796
4020,-1,15.47,1.64,16.7773
4021,0,8.26,3.66,16.7698
4022,0,32.47,-4.62,16.7315
4023,0,0.00,0.00,16.7094
4024,0,2.25,0.30,16.7007
4025,-2,-117.18,13.36,16.6983
4026,0,47.26,-5.06,16.6940
4027,0,21.94,-3.57,16.6719
4028,0,45.00,-1.43,16.6612
4029,-3,-5.39,-2.27,16.6566
4030,-1,25.72,-0.78,16.6238
4031,1,27.47,-3.43,16.6124
4032,0,0.00,0.00,16.5987
4033,-4,-196.80,8.76,16.5935
4034,1,25.44,-1.75,16.5873
4035,-2,-41.36,-0.00,16.5650
4036,0,48.11,-1.31,16.5502
4037,1,9.51,4.67,16.5491
4038,-1,-14.42,-1.27,16.5386
4039,1,4.81,5.88,16.5375
4040,0,13.67,-1.92,16.5176
4041,2,184.56,-10.96,16.4746
4042,-1,-47.48,2.38,16.4621
4043,0,0.66,-3.34,16.4345
4044,0,-2.28,1.49,16.4162
4045,0,51.21,-5.50,16.4024
4046,0,0.00,0.00,16.3868
4047,0,-24.99,5.28,16.3658
4048,-1,-16.76,0.59,16.3621
4049,-1,-64.08,6.08,16.3589
4050,1,68.61,-1.68,16.2943
4051,-1,12.15,-4.33,16.2784
4052,1,132.12,-5.81,16.2516
4053,0,-9.51,0.35,16.2287
4054,0,24.29,-0.54,16.2242
4055,-3,-246.12,4.99,16.2220
4056,-2,-127.01,1.22,16.2100
4057,1,139.79,-10.48,16.1616
4058,0,-2.00,-1.52,16.1188
4059,-1,-82.12,9.54,16.1171
4060,-3,-36.44,1.35,16.1151
4061,-1,-73.24,2.72,16.1067
4062,3,128.81,0.69,16.1041
4063,0,42.58,-8.31,16.0746
4064,2,23.44,-0.26,16.0601
4065,1,46.90,-0.91,16.0560
4066,1,46.73,2.71,16.0449
4067,-4,-20.28,6.49,16.0430
4068,3,107.38,8.83,16.0252
4069,1,94.02,0.25,16.0001
4070,-1,-47.48,2.38,15.9951
4071,0,4.75,-0.80,15.9832
4072,2,151.03,-11.16,15.9762
4073,-3,-72.35,13.96,15.9759
4074,0,-30.52,3.03,15.9218
4075,0,14.85,-2.68,15.8878
4076,-2,-65.47,5.96,15.8776
4077,-2,-119.16,6.41,15.8609
4078,0,48.80,-3.00,15.7935
4079,0,-14.54,-4.91,15.7762
4080,0,-21.04,1.64,15.7653
4081,-1,-50.66,4.36,15.7500
4082,1,32.53,2.72,15.7490
4083,4,90.57,8.51,15.7473
4084,0,-69.04,7.61,15.7439
4085,0,15.29,-2.42,15.7331
4086,1,31.28,-7.69,15.7146
4087,0,-29.97,8.34,15.7032
4088,-3,-206.83,12.35,15.6967
4089,-1,70.33,-9.10,15.6932
4090,0,0.00,-1.07,15.6710
4091,1,22.38,2.74,15.6561
4092,1,136.63,-1.35,15.6305
4093,-4,-215.43,3.12,15.6142
4094,0,64.51,-5.25,15.5858
4095,0,5.60,-0.12,15.5627
4096,0,-9.73,0.81,15.5430
4097,0,-11.61,0.02,15.5166
4098,0,11.78,-0.50,15.5065
4099,0,24.31,-0.72,15.5034
4100,0,-27.19,0.63,15.4784
4101,0,13.68,-0.89,15.4552
4102,-1,-133.61,7.41,15.4449
4103,0,-24.61,7.13,15.4391
4104,0,55.04,-4.76,15.4326
4105,0,29.21,-1.45,15.4320
4106,0,0.00,0.00,15.3838
4107,0,-40.91,7.39,15.3835
4108,1,27.72,9.30,15.3699
4109,-1,-10.99,-1.00,15.3197
4110,0,-59.84,9.80,15.3009
4111,0,-23.42,1.43,15.2844
4112,1,233.05,-6.48,15.2557
4113,-2,-74.35,11.96,15.2415
4114,-2,0.00,-5.83,15.2125
4115,0,0.00,0.00,15.1722
4116,0,0.00,0.00,15.1466
4117,0,49.78,-3.88,15.1359
4118,0,-32.71,8.12,15.1150
4119,-4,-150.31,14.10,15.1114
4120,0,52.97,-0.03,15.0908
4121,-5,-171.90,6.33,15.0857
4122,-3,23.27,-7.95,15.0775
4123,0,-36.19,8.71,15.0680
4124,-3,-4.06,-5.59,15.0673
4125,0,15.39,-2.43,15.0619
4126,-1,-10.99,-1.00,15.0315
4127,-5,-234.78,4.32,14.9980
4128,-1,12.37,-6.57,14.9621
4129,-3,-83.41,1.58,14.9529
4130,-1,-43.02,1.72,14.9510
4131,0,-67.87,14.85,14.9302
4132,-3,-56.44,-0.11,14.9280
4133,1,55.81,-5.70,14.9139
4134,0,0.00,1.72,14.9088
4135,-1,-83.82,1.00,14.9058
4136,-4,-176.63,16.48,14.9057
4137,0,-32.18,4.22,14.9004
4138,-1,-86.64,6.39,14.8478
4139,0,13.73,1.26,14.8403
4140,-1,-92.75,3.39,14.8176
4141,-5,-143.85,23.54,14.7965
4142,0,-2.23,-0.17,14.7859
4143,0,-17.65,3.11,14.7734
4144,0,-23.53,4.59,14.7722
4145,0,10.60,-2.31,14.7662
4146,3,100.99,-8.58,14.7226
4147,1,57.04,-3.83,14.6918
4148,0,33.53,-1.93,14.6825
4149,1,91.42,1.37,14.6746
4150,0,95.11,-9.53,14.6739
4151,0,-27.23,4.36,14.6723
4152,-1,-63.46,5.98,14.6262
4153,-4,-52.63,-0.73,14.6186
4154,0,0.00,0.00,14.6153
4155,-3,-73.50,3.29,14.5914
4156,0,10.71,-0.05,14.5890
4157,-1,-14.42,-2.09,14.5834
4158,2,123.78,2.42,14.5682
4159,1,43.02,0.48,14.5632
4160,-5,-143.85,23.54,14.5524
4161,0,-13.27,1.04,14.5188
4162,0,0.00,0.00,14.5053
4163,-1,-42.88,7.82,14.5021
4164,0,0.00,0.00,14.4944
4165,1,30.03,1.81,14.4717
4166,0,11.10,-3.94,14.4600
4167,0,-28.76,0.68,14.4533
4168,3,289.76,-7.15,14.4384
4169,-5,-166.57,6.55,14.4175
4170,0,-53.58,0.88,14.4017
